---2025-10-31 17:56:29.773242: start.---
GPU [1,2,3] is available: True
DDP is available: True

---2025-10-31 17:56:35.065893: Loading data. ---
load: /raid/home/xukai/FRATTVAE/results/chembl_36_20251023_r1r10w1100w900_standardized_f_dyn_oral_struct_1031/input_data/params.yml

data: /raid/home/xukai/FRATTVAE/data/chembl_36_20251023_r1r10w1100w900_standardized_f_dyn_oral.csv
train: 1305313, valid: 72129, test: 72640, useChiral: True, n_jobs: 10
fragments: 149556, feature: 39, tree: (32, 16), prop: None
---2025-10-31 17:59:30.394686: Loading data done. (elapsed time: 00:00:02:55)---

---2025-10-31 17:59:36.790779: Training start (valid: True).---
epoch: 1000, batch_size: 900, learning_rate: 0.0001, dropout: 0.1, save: 200, kl_w: 0.0005, l_w: 6.0, p_w: 1.0
[335/1000] <train> total: 2.9752, unweighted: 143.9542, kl: 143.4703, label: 0.4839, prop: 0.0000, label_acc: 0.6570, label_pad_acc: 0.7944, elapsed time: 00:00:02:43
[340/1000] <train> total: 2.9662, unweighted: 143.0949, kl: 142.6124, label: 0.4825, prop: 0.0000, label_acc: 0.6584, label_pad_acc: 0.7965, elapsed time: 00:00:02:54
[345/1000] <train> total: 2.9419, unweighted: 142.1857, kl: 141.7072, label: 0.4785, prop: 0.0000, label_acc: 0.6600, label_pad_acc: 0.7957, elapsed time: 00:00:02:56
[350/1000] <train> total: 2.9331, unweighted: 141.4900, kl: 141.0129, label: 0.4771, prop: 0.0000, label_acc: 0.6610, label_pad_acc: 0.7982, elapsed time: 00:00:02:46
[355/1000] <train> total: 2.9130, unweighted: 140.3190, kl: 139.8452, label: 0.4739, prop: 0.0000, label_acc: 0.6624, label_pad_acc: 0.7961, elapsed time: 00:00:02:45
[360/1000] <train> total: 2.8916, unweighted: 139.9670, kl: 139.4967, label: 0.4703, prop: 0.0000, label_acc: 0.6637, label_pad_acc: 0.7999, elapsed time: 00:00:02:50
[365/1000] <train> total: 2.8755, unweighted: 138.9433, kl: 138.4756, label: 0.4677, prop: 0.0000, label_acc: 0.6651, label_pad_acc: 0.8007, elapsed time: 00:00:02:42
[370/1000] <train> total: 2.8708, unweighted: 138.3154, kl: 137.8484, label: 0.4670, prop: 0.0000, label_acc: 0.6660, label_pad_acc: 0.8021, elapsed time: 00:00:02:46
[375/1000] <train> total: 2.8503, unweighted: 137.2759, kl: 136.8123, label: 0.4636, prop: 0.0000, label_acc: 0.6674, label_pad_acc: 0.8016, elapsed time: 00:00:02:41
[380/1000] <train> total: 2.8345, unweighted: 137.1873, kl: 136.7263, label: 0.4610, prop: 0.0000, label_acc: 0.6693, label_pad_acc: 0.8036, elapsed time: 00:00:02:50
